STATIONS_ID;MESS_DATUM;QN_592;ATMO_LBERG;FD_LBERG;FG_LBERG;SD_LBERG;ZENIT;MESS_DATUM_WOZ;eor
       4466;2019120407:11;    1;  122.0;    0.0;    0.0;   0;    95.86;2019120408:00;eor
       4466;2019120408:11;    1;  122.0;    2.0;    2.0;   0;    88.90;2019120409:00;eor
       4466;2019120409:11;    1;  122.0;    8.0;    8.0;   0;    83.20;2019120410:00;eor
       4466;2019120410:11;    1;  122.0;   15.0;   15.0;   0;    79.14;2019120411:00;eor
       4466;2019120411:11;    1;  122.0;   19.0;   19.0;   0;    77.02;2019120412:00;eor
       4466;2019120412:11;    1;  120.0;   25.0;   25.0;   0;    77.03;2019120413:00;eor
       4466;2019120413:11;    1;  122.0;   16.0;   16.0;   0;    79.16;2019120414:00;eor
       4466;2019120414:11;    1;  121.0;    7.0;    7.0;   0;    83.23;2019120415:00;eor
       4466;2019120415:11;    1;  119.0;    3.0;    3.0;   0;    88.93;2019120416:00;eor
       4466;2019120416:11;    1;  115.0;    0.0;    0.0;   0;    95.90;2019120417:00;eor
       4466;2019120417:11;    1;  112.0;    0.0;    0.0;   0;   103.79;2019120418:00;eor
       4466;2019120418:12;    1;  104.0;    0.0;    0.0;   0;   112.25;2019120419:00;eor
       4466;2019120419:12;    1;  109.0;    0.0;    0.0;   0;   120.94;2019120420:00;eor
       4466;2019120420:12;    1;  108.0;    0.0;    0.0;   0;   129.46;2019120421:00;eor
       4466;2019120421:12;    1;  119.0;    0.0;    0.0;   0;   137.29;2019120422:00;eor
       4466;2019120422:12;    1;  121.0;    0.0;    0.0;   0;   143.60;2019120423:00;eor
       4466;2019120423:12;    1;  111.0;    0.0;    0.0;   0;   147.27;2019120500:00;eor
       4466;2019120500:12;    1;  109.0;    0.0;    0.0;   0;   147.28;2019120501:00;eor
       4466;2019120501:12;    1;  105.0;    0.0;    0.0;   0;   143.62;2019120502:00;eor
       4466;2019120502:12;    1;  117.0;    0.0;    0.0;   0;   137.31;2019120503:00;eor
       4466;2019120503:12;    1;  119.0;    0.0;    0.0;   0;   129.49;2019120504:00;eor
       4466;2019120504:12;    1;  115.0;    0.0;    0.0;   0;   120.98;2019120505:00;eor
       4466;2019120505:12;    1;  116.0;    0.0;    0.0;   0;   112.30;2019120506:00;eor
       4466;2019120506:12;    1;  117.0;    0.0;    0.0;   0;   103.85;2019120507:00;eor
